"Marca temporal","CONSENTIMIENTO INFORMADO: Otorgo mi consentimiento para que mis respuestas y la información vertida aquí pueda ser utilizada con fines científicos, académicos y de investigación, en pro de mejorar el proceso de enseñanza aprendizaje de los estudiantes, así mismo, expreso que acepto participar de manera libre y voluntaria en éste trabajo.","Grupo y Subgrupo","Sexo:","Edad (agregar solo el número, sin la palabra ""años""):","¿Participas en las sesiones de simulación del laboratorio o taller de fisiopatología?","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Experiencia en general]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mejora de mi confianza]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mejora de la comunicación entre compañeros]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mejora de la comunicación con el docente]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mis habilidades técnicas]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mis habilidades clínicas]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi toma de decisiones]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi razonamiento]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi seguridad]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi pensamiento crítico]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi atención en clase]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi motivación para la clase]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Mi participación]","Responde sobre tu experiencia en el curso de Fisiopatología, relacionado a la simulación, tomando en cuenta elementos que se mencionan a continuación.  [Trabajo en equipo]","¿Considera que la implementación de estrategias innovadoras, como la simulación, en el proceso de enseñanza-aprendizaje en medicina resulta positiva?","¿Porqué?","De manera breve indique ¿Cuál considera que sea el inconveniente más importante al tratar de implementar el aprendizaje basado en simulación?","¿Consideras que existe una diferencia positiva en la adquisición de conocimientos al implementar la simulación?","¿Consideras que tu promedio del curso podría mejorar al implementar la simulación?","¿Consideras apropiados, positivo y pertinente seguir empleado la simulación en los cursos?","¿Consideras que la retroalimentación posterior a la simulación es indispensable (debriefing) para el logro de los objetivos?","¿Los casos simulados son coherentes con las clases de teoría?","¿Que tan importante consideras que es la capacitación docente para el logro de los objetivos en la simulación?","Algún comentario que quiera agregar para la mejora de estas clases ","De manera general, ¿En base a qué seleccionas el lugar donde te sientas en el espacio de enseñanza (aula, salón, taller, laboratorio)?","En el espacio de enseñanza del curso de Fisiopatología, las sillas permiten estar de manera cercana a tus compañeros, ¿que te parece ésta situación?","Indica cuales son los aspectos que consideras que mejoran cuando te encuentras cerca de tus compañeros, en un espacio cercano, frente a frente o a lado tuyo, como en el caso del acomodo de las sillas en el curso de Fisiopatología (puedes seleccionar más de una y/o agregar las que desees)","Indica cuales son los aspectos negativos que consideras que se presentan cuando te encuentras cerca de tus compañeros en un espacio cercano en el aula, como en el caso acomodo de las sillas en el curso de Fisiopatología"
"2025/05/21 5:08:20 p. m. GMT-6","Acepto","441-2 ","Femenino","21","Si","4 Buena","3 Regular","4 Buena","4 Buena","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","4 Buena","4 Buena","4 Buena","3 Regular","2 Mala","Completamente de acuerdo","Es algo que nunca habíamos hecho en el transcurso de la carrera, tanto aprendemos la interacción médico-paciente como el aspecto clínico que se debe hacer ","La seguridad ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde no me cause estrés","Buena estrategia","Aprendizaje significativo;Discusión grupal;Participación","Es un poco molesto que la persona que está agarras de ti se recargue en tu silla, esté pateándola (no intencionalmente), que sientas que se mueve y a la vez te mueve a ti porque está recargando en tu silla  "
"2025/05/21 5:09:25 p. m. GMT-6","Acepto","441-2","Masculino","22","Si","4 Buena","5 Excelente","4 Buena","5 Excelente","4 Buena","5 Excelente","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","4 Buena","5 Excelente","5 Excelente","Completamente de acuerdo","Porque el implementarla desde edad temprana en la carrera de medicina, ayuda a fortalecer el aprendizaje con un enfoque clínico y mucho más juicioso.","Falta de practica por parte del estudiante y no haber cursado materias esenciales como Farma clínica.","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","En la parte de simulación de urgencias, como lo es el caso de la crisis hipertensiva y el infarto agudo al miocardio, optaría por dejarlas hasta el final o hacer un poco más de retroalimentación en esos casos.","Donde escucho o veo mejor","Me da igual","Discusión grupal;Personalmente me da igual, pero me siento con libertad de debatir o preguntar ciertas cosas cuando estan cerca.","Distracciones innecesarias y ruido."
"2025/05/21 5:09:39 p. m. GMT-6","Acepto","441-3","Femenino","21","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Es algo que cotidianamente no hacemos, nos enfocamos siempre en lo teórico y no lo ponemos en práctica. En cambio el ver lo teórico y después ponerlo en práctica suele ser más fácil de comprender el tema abordado. ","La confianza en uno, siempre estamos pensando en que se realizó una exploración física mal, en que todos observaron en que nos equivocamos. Nos falta mucha seguridad como estudiantes","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Agradecer que las retroalimentaciones después de cada simulación no fueran un regaño y hacernos sentir ineptos. Cada retroalimentación fue de qué manera podemos mejorar y ver lo positivo de lo negativo y eso se agradece mucho ","Donde no me cause estrés","Excelente idea, me encanta","Confianza;Comunicación;Concentración;Estado de ánimo;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","No encuentro algo negativo, depende de cada persona el desempeño que pone en cada clase "
"2025/05/21 5:09:58 p. m. GMT-6","Acepto","441-1","Masculino","20","Si","4 Buena","4 Buena","3 Regular","5 Excelente","3 Regular","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","5 Excelente","5 Excelente","3 Regular","Completamente de acuerdo","Porque algún día trataremos con pacientes reales, y casos muy similares que los vistos en el laboratorio, entonces nuestras posibilidades de equivocarnos son mínimas por no decir nulas, entonces hay que equivocarnos con maniquí y no con el paciente. ","Me gustaría que no subiera la información a blackboard, que solamente estudiáramos el tema y revelar el caso una vez en el laboratorio ","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","Muy importante","Nada, todo bien","Donde me concentro más","Me da igual","Confianza;Motivación;Estado de ánimo;Discusión grupal","Un poco incómodo el tener que estarte volteando para observar opiniones al profesor o las pantallas "
"2025/05/21 5:10:12 p. m. GMT-6","Acepto","441-1","Femenino","20","Si","5 Excelente","5 Excelente","4 Buena","5 Excelente","4 Buena","4 Buena","5 Excelente","4 Buena","4 Buena","5 Excelente","4 Buena","3 Regular","4 Buena","4 Buena","Completamente de acuerdo","Aprendes bastante a la relación medico-paciente, además de las técnicas fe una consulta y la variedad de enfermedades más comunes en México ","La diferencia entre compañeros, ya que algunos no son comunicativos","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Me encanto esta clase, aunque hubieron errores por parte del equipo y por cuestiones de comunicación no se realizó lo mejor pero estaba muy didactico y aprendí más a la relación paciente-médico ","Donde no me cause estrés","Excelente idea, me encanta","Confianza;Comunicación;Aprendizaje significativo;Compañerismo;Discusión grupal","Que algunos esten en sus celulares "
"2025/05/21 5:10:29 p. m. GMT-6","Acepto","441-1 ","Femenino","21","Si","4 Buena","3 Regular","2 Mala","4 Buena","3 Regular","5 Excelente","4 Buena","3 Regular","2 Mala","4 Buena","3 Regular","3 Regular","3 Regular","3 Regular","En desacuerdo","Nos ayuda a simular mejor las situaciones que afrontaremos sin tanto estrés por estar tratando un paciente real ","Falta de algunos utensilios ","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy importante","","Donde están mis amigos","Buena estrategia","Confianza;Comunicación;Estado de ánimo;Compañerismo;Discusión grupal","Puede haber estrés sino hay suficiente espacio personal, está bien estar cerca pero aveces no tan cerca "
"2025/05/21 5:10:47 p. m. GMT-6","Acepto","441-1","Masculino","32","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Me ayudó para afirmar mis conocimientos y a trabajar en equipo ","No miré ningún inconveniente, estuvo súper esas prácticas ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Buena estrategia","Confianza;Estado de ánimo;Discusión grupal;Trabajo en equipo","En mi persona al contrario me ayuda "
"2025/05/21 5:10:55 p. m. GMT-6","Acepto","441-1","Femenino","20","Si","5 Excelente","5 Excelente","4 Buena","4 Buena","4 Buena","5 Excelente","4 Buena","5 Excelente","4 Buena","4 Buena","5 Excelente","5 Excelente","3 Regular","4 Buena","Completamente de acuerdo","Porque el método más fácil y efectivo para aprender es a prueba y error, estos ejercicios de simulación nos ayuda a practicar casos reales creando más confianza y seguridad para cuando nos encontramos con un paciente real ","Podría ser el material para cada caso (ultrasonido, muestra de cultivos, electrocardiograma) la falta de alguno de estos en tiempo real ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde me concentro más","Buena estrategia","Confianza;Comunicación;Concentración","Distracciones por parte de otros compañeros "
"2025/05/21 5:10:57 p. m. GMT-6","Acepto","441-3","Femenino","20","Si","5 Excelente","4 Buena","5 Excelente","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Porque ayuda al estudiante a mejorar su aprendizaje, ademas de motivarlo a seguir adelante y poder resolver dudas.","El tener conocimiento de la exploración fisica.","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","Muy importante","Que en cada tema de simulación exista por lo menos 2 casos diferentes, para poder tener una perspectiva mas amplia de diferentes tipos de pacientes, el como atenderlos y sobrellevar la situación sin que sea esto tan repetitivo.","Donde escucho o veo mejor","Buena estrategia","Confianza;Motivación;Concentración;Estado de ánimo;Compañerismo;Discusión grupal","Que puede haber distracción al querer uno moverse o salir al baño, se puede sentir como muy apretado el lugar."
"2025/05/21 5:11:37 p. m. GMT-6","Acepto","441-3","Femenino","20","Si","5 Excelente","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","5 Excelente","4 Buena","4 Buena","De acuerdo","La simulación es lo más cercano a lo que es tratar a un paciente, estas nos dan confianza y nos ayuda para un futuro y saber cómo debemos tratar los casos","Falta de organización ","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy importante","","Donde me concentro más","Buena estrategia","Confianza;Comunicación;Estado de ánimo;Empatía;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","Ninguno "
"2025/05/21 5:12:04 p. m. GMT-6","Acepto","441-3","Femenino","19","Si","5 Excelente","3 Regular","4 Buena","5 Excelente","5 Excelente","4 Buena","4 Buena","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","4 Buena","5 Excelente","Completamente de acuerdo","Porque considero que la mejor forma de aprender es la practica y cometiendo errores para mejorarlos y esto es lo que se hace en la simulación ","La falta de confianza y la vergüenza del alumno ","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde escucho o veo mejor","Buena estrategia","Confianza;Comunicación;Compañerismo;Trabajo en equipo","En ocasiones la distracción "
"2025/05/21 5:12:21 p. m. GMT-6","Acepto","442-2","Masculino","22","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Porque para personas que aprendemos más de manera práctica es excelente estrategia para aprender, ya que aplicas todo lo visto en clase ","No creo que haya algún inconveniente ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Nada el doctor realiza su trabajo excelente ","Para estar cerca del docente","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Concentración;Aprendizaje significativo;Compañerismo;Participación","Llega a ser un poco incómodo porque no tenemos una mesa donde podamos hacer apuntes,"
"2025/05/21 5:13:08 p. m. GMT-6","Acepto","442 sub 3","Masculino","19","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","4 Buena","Completamente de acuerdo","algo que sale del esquema de lo comun y lo repetitivo que sin duda aporta al estudiante de mil maneras","el trabajo en equipo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","sin comentarios, la mejor clase sin duda","Donde me concentro más","Buena estrategia","Confianza;Motivación;Estado de ánimo;Aprendizaje significativo;Compañerismo;Discusión grupal;Participación","considero que no es igual de comodo hacer apuntes o concentrarte de la misma manera"
"2025/05/21 5:13:38 p. m. GMT-6","Acepto","441 subgrupo 1","Femenino","19","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Honestamente creo que es la dinámica que más me ha servido para comprender los temas, en todo lo que llevo de carrera","Podría ser la incertidumbre de no saber el diagnóstico ","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Excelente clase","Donde no me cause estrés","Buena estrategia","Confianza;Comunicación;Estado de ánimo;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","Distracción "
"2025/05/21 5:14:28 p. m. GMT-6","Acepto","441-2","Femenino","22","Si","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Porque aprender la teoría es bueno, pero siento que el implementar nos genera seguridad y nos enseña de mejor manera a tratar a nuestros futuros pacientes.","Que no lo hacen todos los maestros, si lo hicieran todos sería una maravilla.","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Siento que muchos maestros se encargan de transmitirnos su conocimiento únicamente, pero el Dr. Ontiveros se encargó de transmitir conocimiento, experiencia y retroalimentación sin humillación (que fue lo más importante de todo).","Donde están mis amigos","Buena estrategia","Confianza;Comunicación;Empatía;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","Algunos no se callan, y cuando están muy cerca eso me distrae un poco."
"2025/05/21 5:14:29 p. m. GMT-6","Acepto","442-3","Femenino","19","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Porque estando adentro te das cuenta que tienes que resolver cualquier obstáculo que tengas presente, por ello la habilidad de razonamiento aumenta, pones más atención en clase para poder correlacionarlo, lo aprendido en clínica lo llevas acabo en tu px del simulador etc ","Que no lleves una buena enseñanza en clínica ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Recordar revisar el carro rojo para poder sacarle aún más provecho ","Donde no me cause estrés","Buena estrategia","Comunicación;Concentración;Estado de ánimo;Compañerismo;Discusión grupal;Participación","Tal vez en ocasiones que estés con tu mismo “grupo de amigos” hasta te puede llegar a desconcentrar sin embargo no se lo atribuyo a como están las sillas acomodadas "
"2025/05/21 5:15:38 p. m. GMT-6","Acepto","442-3","Masculino","19","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Nos pone a prueba sobre cómo podemos manejar a un paciente, lo importante que es el tomar una decisión rápida y lo razonable que se tiene que ser para llevar a cabo una buena atención médico-paciente, me parece una enseñanza sumamente positiva y útil","El manejo de cualquier situación y la toma de decisiones ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Me voy muy contento con lo que nos impartió el Dr, es una de las clases que más he disfrutado y me ha motivado a seguir ","Donde están mis amigos","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Aprendizaje significativo;Empatía;Compañerismo;Discusión grupal","Distracción y nada más, pero es normal en todas las clases y me parece genial como está acomodado"
"2025/05/21 5:15:40 p. m. GMT-6","Acepto","441-3","Masculino","21","Si","5 Excelente","4 Buena","5 Excelente","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","5 Excelente","4 Buena","3 Regular","5 Excelente","De acuerdo","Porque así se tiene una noción de cómo es la práctica clinica o algo más realista ","La falta de comunicación ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","Muy importante","","Donde me concentro más","Excelente idea, me encanta","Confianza;Concentración;Compañerismo;Discusión grupal;Participación","Ninguno "
"2025/05/21 5:15:46 p. m. GMT-6","Acepto","441-2","Masculino","20","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Nos ayuda a desarrollar las habilidades de comunicación tanto con el personal médico y con el paciente, nos ayuda a desenvolvernos mejor en un ambiente clínico o de trabajo","Que no todas las materias lo imparten, no existe como tal un apartado para simulación en la universidad y esta materia fue la única que implementó la simulación como parte de la enseñanza ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","El tener los casos estudiados con anterioridad ","Donde no me cause estrés","Excelente idea, me encanta","Confianza;Comunicación;Motivación;Concentración;Estado de ánimo;Aprendizaje significativo;Compañerismo;Discusión grupal;Participación","Quizás que no existe la confianza entre todos los compañeros y resulta algo incómodo cuando los demás opinan respecto a tu desempeño sin cuidar las palabras o el trato con el que se te dirigen, hablando de una forma más empatica "
"2025/05/21 5:15:58 p. m. GMT-6","Acepto","441-1","Femenino","20","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Nos da un acercamiento más realístico a las situaciones médicas. ","El único inconveniente que al menos por mi experiencia presenté, fue que en la unidad Valle de Las Palmas hay un abasto de electricidad muy variable, por ende, por cualquier razón se iba la electricidad continuadamente afectando un poco el manejo de la simulación o la clase. ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Ninguna, solo ampliar un poquito más el tiempo para la retroalimentación. ","Donde me concentro más","Buena estrategia","Confianza;Comunicación;Concentración;Estado de ánimo","Como es un espacio reducido, me siento un poco apretada, pero solo cuando el clima es más caluroso. "
"2025/05/21 5:16:17 p. m. GMT-6","Acepto","441-1","Masculino","20","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Es de vital importancia pq practicar es la clave para perfeccionar nuestras habilidades ","El tiempo limitado que se tenía, y que se pudo haber utilizado equipos y tecnologías que aunque son costosas nos ayudarían a relacionarnos más con el ambiente médico ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Muy importante","Hacer los casos más rápido para tener más tiempo de retroalimentación ","Donde me concentro más","Excelente idea, me encanta","Confianza;Comunicación;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","No encuentro algún aspecto negativo, funciona mucho el cambiar la distribución de las sillas en los salones para generar otro ambiente "
"2025/05/21 5:16:23 p. m. GMT-6","Acepto","441-2","Masculino","20","Si","4 Buena","4 Buena","5 Excelente","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Ayuda a mejorar y a entender las situaciones que van más allá de lo clinico","Las limitaciones tecnicas","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","","Donde no me cause estrés","Excelente idea, me encanta","Confianza;Motivación;Estado de ánimo;Aprendizaje significativo;Compañerismo;Discusión grupal","Ninguno"
"2025/05/21 5:16:43 p. m. GMT-6","Acepto","441-2","Femenino","22","Si","5 Excelente","4 Buena","5 Excelente","5 Excelente","3 Regular","3 Regular","3 Regular","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","3 Regular","5 Excelente","Completamente de acuerdo","Porque a parte de saber teoría también tenemos que tener un conocimiento en la práctica en como se abordará cada caso que se nos presente ","Yo creo que el que este en nosotros el querer hacerlo y no tener miedo ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","No tanto en esta clases; sino más bien en las otras materias. Estaría super bien que en todas las materias nos enseñarán a realizar este tipo de simulación y que nos lleven más al hospital virtual porque JAMAS nos han llevado. Y creo que aprenderlas bastante ahí, y me haría sentir más segura al realizar ese tipo de simulaciones porque ya iría con una idea de como trabajar y realizar las cosas con un paciente real ","Donde escucho o veo mejor","Me da igual","Empatía;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","Para mi, ninguno "
"2025/05/21 5:16:44 p. m. GMT-6","Acepto","442-1","Femenino","20","Si","4 Buena","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","4 Buena","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Porque no solamente se ve la teoría, sino que la aplicas de manera clínica, eso ayuda a mejorar la confianza y a saber cómo actuar en ciertas situaciones. ","Quizá el poco conocimiento sobre algunos temas que no se han visto, ejemplo: rx, TC ","Completamente de acuerdo","Regular","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Me parecen muy entretenidas, algo que se podría mejorar es que primero se vea la teoría y posteriormente la simulación.","Donde no me cause estrés","Estoy en contra de esta estrategia de acomodo de sillas","Comunicación;Compañerismo","Normalmente si me muevo puedo empujar sin querer la silla del compañero de enfrente o llegar a tocar con mi brazo al compañero."
"2025/05/21 5:17:03 p. m. GMT-6","Acepto","441-3","Femenino","34","Si","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","Completamente de acuerdo","Me gustó mucho el poder practicar el como trataríamos a nuestros pacientes y aprender a cómo es que nos vamos a comunicar con ellos. ","El único inconveniente que veo es que quizás hagan falta más cosas como reales, como por ejemplo el muñeco que se tiene ahí le hacen falta varias cosas,  o quizás poner realmente el electrocardiograma, etc. ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Todo me pareció perfecto, creo que poco a poco se irán añadiendo más materiales que se puedan usar o más tecnología pero es excelente todo lo que se tiene para poder crear y sentir real la simulación. ","Donde escucho o veo mejor","Excelente idea, me encanta","Aprendizaje significativo;Compañerismo;Participación;Trabajo en equipo","Pues que a veces te puedes distraer con otro compañero, o es molesto si los demás hablan y no dejan escuchar "
"2025/05/21 5:17:32 p. m. GMT-6","Acepto","442-1","Femenino","21","Si","5 Excelente","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","4 Buena","5 Excelente","3 Regular","4 Buena","Completamente de acuerdo","Es más práctica, te ayuda a tener más segura y en aprender cómo actuar a ciertas situaciones ","Que al principio se limiten los mismos alumnos por la pena ","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","A mi me pareció una excelente clase tal cual me fue impartida, no cambiaría nada ","Donde escucho o veo mejor","Buena estrategia","Confianza;Comunicación;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","El salón se siente caliente en ocasiones "
"2025/05/21 5:18:22 p. m. GMT-6","Acepto","442-3","Femenino","22","Si","4 Buena","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","3 Regular","4 Buena","3 Regular","4 Buena","4 Buena","4 Buena","3 Regular","4 Buena","Completamente de acuerdo","Ayuda mucho a aprender y perder el miedo en hablar. Pones en práctica lo aprendido . En la retroalimentación siempre dan comentarios positivos nunca se enfoca en lo negativo y se habla en lo que se puede mejorar y practicar. ","Que no hay más variedad de materiales","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","De acuerdo","Completamente de acuerdo","Muy importante","Agregar más variedad en cuanto a los casos, que sean diferentes ","Donde están mis amigos","Me da igual","Comunicación;Estado de ánimo;Empatía;Compañerismo","como el salón estaba lleno, y tocaba sentarse al fondo resultaba un poco incómodo salir entre clases como para ir al sanitario "
"2025/05/21 5:19:32 p. m. GMT-6","Acepto","442-1","Femenino","19","Si","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","5 Excelente","Completamente de acuerdo","Nos acerca de una manera diferente a los temas en clase y por el dinamismo, creatividad, prueba y error y muchas risas nos ayuda a reforzar los temas de una manera increíble ","La falta de apoyo por parte de los superiores","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Completamente de acuerdo","Muy importante","Tal vez al momento de la retroalimentación podría ser bueno e interesante recapitular o mostrar la forma correcta de hacer algunas cosas(desde los síntomas del paciente hasta cómo se caliza a un paciente)","Para estar cerca del docente","Excelente idea, me encanta","Confianza;Comunicación;Estado de ánimo;Compañerismo;Discusión grupal;Participación;Trabajo en equipo","Tal vez en en caso de que alguien que se sienta hasta atrás quisiera salir al baño o a alguna cosa más que nada por la dificultad de movilidad por todas las mochilas "
